species,bird_group,United_Kingdom,Vietnam,Australia,New_Zealand,Indonesia,Malaysia,Thailand,Spain,Comments,Image_link,Favourites
Dunnock,Sparrows and Finches,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:d5b17a53-265c-482a-954c-74d4b561a326/150006248-Species-Dunnock-on-twigs-in-tree.jpg,
Dusky Moorhen,Crakes and Rails,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122302351/1800,
Eastern Cattle Egret,Herons and Egrets,,,TRUE,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42866641/1800,
Eastern Great Egret,Herons and Egrets,,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Ardea_modesta.jpg,
Eastern Osprey,Birds of Prey,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60320581/1800,
Eastern Reef Egret,Herons and Egrets,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117370921/1800,
Eastern Spinebill,Honeyeaters,,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fb/Acanthorhynchus_tenuirostris_-_Mogo_Campground.jpg,TRUE
Eastern Whipbird,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125654841/1800,TRUE
Egyptian Goose,Ducks Geese and Swans,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46022201/1800,
Egyptian Vulture,Vultures,,,,,,,,TRUE,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/168727561/1800,
Eider,Ducks Geese and Swans,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:ab8e7136-aad6-4c05-b1fc-9402a032e72b/1600957048-Species-Eider-duck-MALE-on-water.jpg,
Eurasian Blackcap,Warblers,TRUE,,,,,,,TRUE,,https://www.birdspot.co.uk/wp-content/uploads/2017/08/blackcap.jpg,
Eurasian Coot,Crakes and Rails,TRUE,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44601541/1800,
Eurasian Hoopoe,,,,,,,,,TRUE,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255121291/1800,
Eurasian Jay,Corvids Starlings and Thrushes,TRUE,,,,,,,TRUE,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/252253011/1800,
